customer_id,country,completed_revenue,completed_orders,units_sold,average_order_value,first_order_date,last_order_date,revenue_rank
12472,Germany,17880.59,19,11350,941.08,2009-12-14,2011-11-07,114
15078,United Kingdom,17761.88,53,8990,335.13,2009-12-04,2011-12-02,115
12901,United Kingdom,17654.54,28,23075,630.52,2011-03-14,2011-12-01,116
14952,United Kingdom,17629.35,32,6977,550.92,2009-12-03,2011-10-11,117
16652,United Kingdom,17550.39,16,7477,1096.9,2010-03-17,2011-10-12,118
15189,United Kingdom,17524.38,46,6902,380.96,2010-07-18,2011-12-08,119
18172,United Kingdom,17479.84,52,7413,336.15,2009-12-11,2011-11-25,120
16019,United Kingdom,17465.85,27,6976,646.88,2009-12-14,2011-10-24,121
15523,United Kingdom,17359.99,16,15873,1085.0,2009-12-02,2011-09-16,122
13027,United Kingdom,17335.2,19,43080,912.38,2010-01-20,2011-08-18,123
17416,United Kingdom,17298.45,22,8769,786.29,2009-12-14,2011-11-10,124
13564,United Kingdom,17249.55,37,9251,466.2,2009-12-02,2011-07-18,125
17735,United Kingdom,17244.93,26,10901,663.27,2010-07-30,2011-12-07,126
14277,France,17225.81,9,89814,1913.98,2009-12-13,2011-11-24,127
15358,United Kingdom,17050.41,42,15378,405.96,2009-12-07,2011-12-05,128
15125,United Kingdom,17024.87,24,8433,709.37,2010-03-31,2011-11-14,129
16656,United Kingdom,16833.17,30,15433,561.11,2009-12-04,2011-11-17,130
12454,Spain,16679.78,5,7703,3335.96,2010-10-14,2011-10-14,131
16553,United Kingdom,16644.01,33,16475,504.36,2010-02-11,2011-06-29,132
13199,United Kingdom,16432.89,67,12019,245.27,2009-12-05,2011-12-06,133
14961,United Kingdom,16410.15,22,8372,745.92,2009-12-04,2011-11-29,134
13225,United Kingdom,16260.07,16,7401,1016.25,2009-12-17,2011-12-06,135
16180,United Kingdom,16249.87,13,9813,1249.99,2010-06-23,2011-08-31,136
12980,United Kingdom,16245.78,21,1910,773.61,2009-12-02,2011-07-05,137
15044,United Kingdom,16204.33,35,5279,462.98,2009-12-16,2011-11-20,138
14733,United Kingdom,16184.97,15,6491,1079.0,2010-11-02,2011-11-23,139
18092,United Kingdom,16179.44,18,8830,898.86,2009-12-04,2011-12-07,140
17107,United Kingdom,16075.42,10,7544,1607.54,2010-01-31,2011-11-06,141
12971,United Kingdom,15972.79,116,14587,137.7,2009-12-15,2011-12-06,142
17716,United Kingdom,15956.97,24,8819,664.87,2009-12-02,2011-11-17,143
14769,United Kingdom,15771.88,17,11255,927.76,2009-12-16,2011-12-07,144
14849,United Kingdom,15763.45,43,12026,366.59,2010-01-10,2011-11-18,145
16191,United Kingdom,15688.02,24,9360,653.67,2009-12-11,2011-12-07,146
15768,United Kingdom,15601.09,34,4259,458.86,2009-12-03,2011-08-16,147
13488,United Kingdom,15587.88,23,7891,677.73,2010-01-25,2011-11-22,148
12949,United Kingdom,15526.7,22,8233,705.76,2009-12-03,2011-11-09,149
15601,United Kingdom,14960.12,30,11061,498.67,2009-12-01,2011-11-28,150
14543,United Kingdom,14906.77,39,2697,382.22,2009-12-01,2011-11-11,151
18087,United Kingdom,14761.52,17,7775,868.32,2009-12-01,2011-09-02,152
16126,United Kingdom,14646.8,15,6142,976.45,2009-12-02,2011-11-10,153
17133,United Kingdom,14622.33,12,10107,1218.53,2010-03-21,2011-11-24,154
16873,United Kingdom,14617.39,12,8601,1218.12,2010-02-09,2011-12-05,155
15482,United Kingdom,14592.56,19,6532,768.03,2009-12-02,2011-11-24,156
16713,United Kingdom,14560.69,32,8683,455.02,2009-12-15,2011-11-21,157
17448,United Kingdom,14556.97,46,11548,316.46,2010-03-04,2010-07-30,158
14299,United Kingdom,14499.49,27,8228,537.02,2009-12-02,2011-12-01,159
12583,France,14447.44,27,8984,535.09,2009-12-06,2011-12-07,160
15093,United Kingdom,14326.11,23,11657,622.87,2009-12-08,2011-11-21,161
12476,Germany,14115.41,23,5645,613.71,2010-07-26,2011-11-24,162
17017,United Kingdom,14110.61,29,10591,486.57,2009-12-03,2011-12-07,163
15005,United Kingdom,14106.2,56,8856,251.9,2009-12-01,2011-11-24,164
13090,United Kingdom,14103.09,24,3445,587.63,2010-08-02,2011-12-01,165
12714,France,14093.71,12,8774,1174.48,2009-12-04,2011-11-30,166
13178,United Kingdom,14059.19,21,8778,669.49,2009-12-16,2011-11-13,167
17589,United Kingdom,14049.87,18,8788,780.55,2010-03-07,2011-10-10,168
18223,United Kingdom,14000.85,26,6644,538.49,2009-12-04,2011-12-05,169
15502,United Kingdom,13993.47,14,5861,999.53,2010-06-03,2011-11-24,170
12435,Denmark,13925.93,6,4958,2320.99,2009-12-02,2011-09-21,171
15760,Norway,13916.34,2,2,6958.17,2010-03-19,2010-03-19,172
16558,United Kingdom,13873.51,38,8088,365.09,2009-12-03,2011-12-09,173
15291,United Kingdom,13846.56,40,5017,346.16,2009-12-03,2011-11-14,174
15032,United Kingdom,13780.65,8,8259,1722.58,2009-12-10,2011-03-28,175
15382,United Kingdom,13733.55,12,9178,1144.46,2009-12-04,2011-11-25,176
12567,France,13709.86,15,6086,913.99,2010-02-11,2011-11-17,177
12989,United Kingdom,13551.75,33,6935,410.66,2009-12-10,2011-12-06,178
13468,United Kingdom,13390.51,72,5824,185.98,2009-12-03,2011-12-08,179
13097,United Kingdom,13389.22,28,5396,478.19,2009-12-01,2011-11-07,180
16923,United Kingdom,13378.36,32,6269,418.07,2010-01-31,2011-11-27,181
15738,United Kingdom,13372.97,41,9285,326.17,2009-12-10,2011-11-21,182
13629,United Kingdom,13370.86,19,7722,703.73,2010-02-11,2011-11-16,183
13969,United Kingdom,13365.87,35,6817,381.88,2010-03-25,2011-12-02,184
14049,United Kingdom,13239.03,13,8609,1018.39,2010-04-01,2011-11-23,185
13316,United Kingdom,13191.57,10,21372,1319.16,2010-03-10,2011-11-02,186
16549,United Kingdom,13182.19,34,7278,387.71,2010-03-28,2011-11-29,187
13668,United Kingdom,13089.94,35,6133,374.0,2009-12-11,2011-12-07,188
18225,United Kingdom,13054.26,26,7304,502.09,2009-12-04,2011-12-06,189
14110,United Kingdom,12987.95,33,5825,393.57,2009-12-01,2011-12-06,190
16161,United Kingdom,12831.8,43,6380,298.41,2010-02-08,2011-12-08,191
13952,United Kingdom,12823.52,14,5947,915.97,2009-12-16,2011-05-06,192
17858,United Kingdom,12797.65,30,5483,426.59,2009-12-06,2011-12-04,193
12683,France,12696.78,21,7683,604.61,2009-12-13,2011-12-05,194
12437,France,12683.4,39,8000,325.22,2009-12-02,2011-12-08,195
12451,Switzerland,12669.88,8,9359,1583.73,2010-06-28,2011-11-29,196
15465,United Kingdom,12655.65,32,2769,395.49,2009-12-10,2011-11-20,197
14040,United Kingdom,12645.57,35,5044,361.3,2009-12-01,2011-10-30,198
13013,United Kingdom,12625.77,29,6463,435.37,2009-12-14,2011-12-08,199
12536,France,12601.83,3,2803,4200.61,2011-10-11,2011-10-27,200
16814,United Kingdom,12499.71,36,5066,347.21,2010-04-11,2011-11-25,201
15194,United Kingdom,12427.69,28,9169,443.85,2009-12-03,2011-12-06,202
12474,Germany,12424.45,31,7954,400.79,2010-02-11,2011-11-22,203
14936,Channel Islands,12410.81,12,6274,1034.23,2010-05-05,2011-11-06,204
16000,United Kingdom,12393.7,3,5110,4131.23,2011-12-07,2011-12-07,205
12481,Germany,12361.39,15,7253,824.09,2010-04-11,2011-11-17,206
13050,United Kingdom,12344.53,35,7206,352.7,2009-12-15,2011-11-25,207
14739,United Kingdom,12287.5,25,10172,491.5,2009-12-02,2011-12-05,208
13854,United Kingdom,12253.96,39,3710,314.2,2010-01-08,2011-12-01,209
14735,United Kingdom,12240.16,56,4513,218.57,2009-12-04,2011-12-06,210
13418,United Kingdom,12233.6,31,7606,394.63,2009-12-11,2011-11-28,211
15023,United Kingdom,12170.68,20,5052,608.53,2010-02-03,2011-12-06,212
15144,United Kingdom,12160.31,29,5251,419.32,2009-12-13,2011-12-01,213
17338,United Kingdom,12142.57,17,5879,714.27,2010-03-10,2011-11-22,214
15555,United Kingdom,12112.35,36,9037,336.45,2009-12-06,2011-11-27,215
14415,United Kingdom,12091.6,23,6304,525.72,2009-12-16,2011-12-08,216
17364,United Kingdom,12070.42,28,7513,431.09,2009-12-07,2011-12-09,217
14505,United Kingdom,12001.84,19,5383,631.68,2009-12-09,2011-11-22,218
17044,United Kingdom,11962.3,12,5722,996.86,2009-12-07,2011-11-14,219
13458,United Kingdom,11959.27,16,6760,747.45,2010-11-16,2011-12-02,220
16258,United Kingdom,11942.52,15,7200,796.17,2010-03-10,2011-10-25,221
16523,United Kingdom,11916.33,28,4979,425.58,2010-01-24,2011-12-08,222
13687,United Kingdom,11880.84,1,87167,11880.84,2010-09-27,2010-09-27,223
18226,United Kingdom,11878.88,26,7883,456.88,2010-03-05,2011-10-26,224
12705,Germany,11762.1,14,7188,840.15,2010-06-24,2011-11-24,225
14426,United Kingdom,11727.94,17,7023,689.88,2010-03-04,2011-11-16,226
13102,United Kingdom,11696.92,37,6576,316.13,2010-05-06,2011-12-08,227
13004,United Kingdom,11650.85,36,8768,323.63,2009-12-15,2011-11-28,228
13576,United Kingdom,11551.74,28,4614,412.56,2009-12-08,2011-11-29,229
15218,United Kingdom,11516.57,22,6553,523.48,2010-01-26,2011-11-29,230
12668,Germany,11444.68,10,5076,1144.47,2010-01-31,2011-11-28,231
13680,United Kingdom,11435.67,12,5252,952.97,2009-12-04,2011-12-08,232
14016,EIRE,11403.41,11,5722,1036.67,2010-01-08,2011-07-01,233
17809,United Kingdom,11337.39,20,3353,566.87,2009-12-02,2011-11-23,234
14045,United Kingdom,11313.03,16,4587,707.06,2010-01-08,2011-08-22,235
15874,United Kingdom,11284.76,21,5102,537.37,2010-01-07,2011-10-07,236
12539,Spain,11214.75,7,4535,1602.11,2009-12-23,2011-11-17,237
18055,United Kingdom,11195.57,14,3839,799.68,2010-10-22,2011-12-02,238
12524,Germany,11126.11,17,7178,654.48,2010-02-08,2011-11-30,239
14134,United Kingdom,11123.35,15,5814,741.56,2009-12-10,2010-11-22,240
13941,United Kingdom,11122.3,15,5426,741.49,2009-12-16,2011-11-18,241
12918,United Kingdom,10953.5,1,1,10953.5,2010-03-23,2010-03-23,242
16985,United Kingdom,10923.16,23,3103,474.92,2009-12-10,2011-11-22,243
14796,United Kingdom,10889.64,27,7653,403.32,2009-12-14,2011-12-08,244
18052,United Kingdom,10877.18,1,17766,10877.18,2010-05-24,2010-05-24,245
12431,Belgium,10857.97,27,4717,402.15,2010-01-15,2011-11-04,246
16033,United Kingdom,10836.13,27,4288,401.34,2010-08-11,2011-12-04,247
15694,United Kingdom,10810.81,24,2658,450.45,2009-12-07,2011-12-09,248
18229,United Kingdom,10803.71,28,3183,385.85,2009-12-03,2011-11-28,249
16984,United Kingdom,10754.8,9,5330,1194.98,2010-03-07,2011-09-12,250
16327,United Kingdom,10731.34,16,8540,670.71,2009-12-14,2011-11-25,251
16168,United Kingdom,10636.47,66,5099,161.16,2009-12-03,2011-11-29,252
13324,United Kingdom,10513.47,18,8448,584.08,2010-05-25,2011-11-03,253
15290,United Kingdom,10496.28,26,6567,403.7,2010-02-24,2011-12-05,254
16782,United Kingdom,10438.41,38,4285,274.69,2009-12-09,2011-11-29,255
14028,United Kingdom,10396.5,3,7170,3465.5,2010-06-07,2010-06-07,256
15296,United Kingdom,10342.83,12,5464,861.9,2010-01-21,2011-10-20,257
14422,United Kingdom,10271.52,19,6067,540.61,2009-12-17,2011-12-09,258
15719,United Kingdom,10223.06,31,5368,329.78,2009-12-01,2011-11-07,259
17160,United Kingdom,10209.16,17,8390,600.54,2009-12-04,2011-11-08,260
15805,United Kingdom,10189.23,30,6225,339.64,2009-12-10,2011-11-16,261
13599,United Kingdom,10167.63,33,6494,308.11,2009-12-01,2011-12-08,262
15547,United Kingdom,10154.39,26,7362,390.55,2009-12-06,2011-12-02,263
14085,United Kingdom,10104.97,33,6564,306.21,2009-12-08,2011-12-07,264
12839,United Kingdom,10071.73,26,6849,387.37,2009-12-07,2011-12-07,265
12766,Portugal,10068.28,9,5446,1118.7,2010-10-28,2011-12-06,266
13985,United Kingdom,10020.86,22,4936,455.49,2010-02-09,2011-12-05,267
16353,United Kingdom,9999.46,38,3531,263.14,2009-12-07,2011-12-06,268
14755,United Kingdom,9972.55,25,4401,398.9,2009-12-03,2011-11-30,269
16182,United Kingdom,9971.65,9,5887,1107.96,2010-03-09,2011-09-28,270
18260,United Kingdom,9962.11,23,5247,433.14,2009-12-15,2011-06-20,271
14101,United Kingdom,9961.93,13,10542,766.3,2010-03-28,2011-09-27,272
16131,United Kingdom,9957.42,12,4768,829.78,2009-12-02,2011-10-19,273
17049,United Kingdom,9947.48,19,4276,523.55,2010-03-04,2011-12-07,274
14329,United Kingdom,9927.22,15,5921,661.81,2009-12-16,2011-11-22,275
17230,United Kingdom,9924.95,18,3903,551.39,2009-12-08,2011-03-20,276
16701,United Kingdom,9916.73,26,11046,381.41,2009-12-01,2011-12-01,277
12758,Portugal,9903.24,7,6155,1414.75,2009-12-01,2011-08-15,278
18109,United Kingdom,9893.96,38,4885,260.37,2010-07-01,2011-12-08,279
13327,United Kingdom,9879.48,20,4479,493.97,2009-12-18,2011-11-01,280
12590,Germany,9864.26,2,4283,4932.13,2011-05-12,2011-05-12,281
14828,United Kingdom,9839.46,13,9718,756.88,2009-12-07,2011-05-27,282
12490,France,9823.64,21,5906,467.79,2009-12-01,2011-12-04,283
13735,United Kingdom,9813.22,13,4158,754.86,2009-12-13,2011-11-15,284
14944,United Kingdom,9784.67,19,4864,514.98,2010-02-17,2011-11-10,285
17306,United Kingdom,9782.35,21,13747,465.83,2010-11-01,2011-11-29,286
13018,United Kingdom,9763.16,35,6746,278.95,2010-03-01,2011-11-23,287
13267,United Kingdom,9758.26,36,4104,271.06,2009-12-07,2011-12-07,288
13069,United Kingdom,9683.13,38,15404,254.82,2010-06-14,2011-12-09,289
12380,Belgium,9676.3,11,3355,879.66,2010-02-15,2011-11-18,290
17315,United Kingdom,9650.6,43,5124,224.43,2010-09-27,2011-12-08,291
14135,United Kingdom,9643.92,24,9355,401.83,2009-12-02,2011-12-08,292
17811,United Kingdom,9609.8,47,5327,204.46,2010-09-20,2011-12-05,293
17504,United Kingdom,9565.12,18,5517,531.4,2010-02-08,2011-05-17,294
14091,United Kingdom,9530.08,2,3316,4765.04,2010-01-10,2010-02-23,295
14060,United Kingdom,9519.08,30,8119,317.3,2010-03-11,2011-12-05,296
13999,United Kingdom,9502.26,29,5043,327.66,2009-12-05,2011-11-29,297
13174,United Kingdom,9494.84,12,4541,791.24,2009-12-04,2011-11-23,298
15298,United Kingdom,9459.37,23,6286,411.28,2009-12-08,2011-12-07,299
14146,United Kingdom,9450.3,12,5780,787.52,2010-01-13,2011-12-01,300
15727,United Kingdom,9445.51,15,5942,629.7,2010-01-24,2011-11-23,301
14439,Greece,9443.04,5,2244,1888.61,2010-01-21,2011-01-24,302
16550,United Kingdom,9435.13,18,5727,524.17,2009-12-02,2011-08-23,303
17757,United Kingdom,9422.45,56,5163,168.26,2010-01-13,2011-12-08,304
13758,United Kingdom,9416.98,15,5068,627.8,2009-12-01,2011-11-28,305
15981,United Kingdom,9362.77,21,4827,445.85,2010-03-29,2011-11-15,306
15570,United Kingdom,9311.04,25,4279,372.44,2010-03-28,2011-12-02,307
12747,United Kingdom,9276.54,26,2758,356.79,2009-12-07,2011-12-07,308
13162,United Kingdom,9275.49,16,5755,579.72,2009-12-04,2011-08-09,309
15249,United Kingdom,9266.0,18,4980,514.78,2010-03-26,2011-11-08,310
14367,United Kingdom,9261.52,16,4438,578.85,2011-03-08,2011-12-01,311
13448,United Kingdom,9240.87,13,4404,710.84,2009-12-06,2011-11-23,312
14292,United Kingdom,9226.25,16,3429,576.64,2010-03-19,2011-12-02,313
13756,United Kingdom,9207.5,23,5441,400.33,2009-12-15,2011-12-07,314
15260,United Kingdom,9188.23,25,4722,367.53,2009-12-06,2011-08-31,315
16700,United Kingdom,9167.71,25,6882,366.71,2009-12-02,2011-12-01,316
17068,United Kingdom,9161.08,47,4435,194.92,2010-03-28,2011-11-27,317
16709,United Kingdom,9087.46,14,3276,649.1,2009-12-09,2011-09-16,318
15867,United Kingdom,9063.95,31,5139,292.39,2009-12-14,2011-12-04,319
15939,United Kingdom,9060.39,16,6260,566.27,2010-11-30,2011-09-11,320
17576,United Kingdom,9056.81,41,4740,220.9,2009-12-03,2011-12-01,321
12755,Japan,9030.66,11,3781,820.97,2010-01-15,2011-03-04,322
16186,United Kingdom,9026.11,26,6825,347.16,2009-12-09,2011-11-17,323
15150,United Kingdom,9001.08,13,6183,692.39,2010-06-14,2011-11-22,324
13555,United Kingdom,8999.19,13,4827,692.25,2010-01-19,2011-09-27,325
16722,United Kingdom,8989.08,22,8580,408.59,2009-12-03,2011-11-22,326
15903,United Kingdom,8939.84,12,3926,744.99,2010-01-14,2011-11-30,327
12359,Cyprus,8935.94,10,2752,893.59,2009-12-05,2011-10-13,328
13269,United Kingdom,8891.7,28,6564,317.56,2009-12-02,2011-12-08,329
14709,United Kingdom,8886.33,25,4141,355.45,2009-12-05,2011-11-24,330
17396,United Kingdom,8807.1,14,2419,629.08,2010-09-24,2011-10-31,331
13047,United Kingdom,8795.16,24,3429,366.46,2009-12-16,2011-11-08,332
15984,United Kingdom,8759.32,30,6084,291.98,2009-12-01,2011-12-07,333
16532,United Kingdom,8756.64,5,2544,1751.33,2010-03-29,2011-11-22,334
18041,United Kingdom,8752.38,38,7859,230.33,2010-01-14,2011-11-28,335
12957,United Kingdom,8706.97,13,4686,669.77,2009-12-11,2011-11-30,336
13263,United Kingdom,8704.69,39,5390,223.2,2010-10-22,2011-12-08,337
15955,United Kingdom,8658.36,22,4213,393.56,2010-02-23,2011-11-15,338
15497,United Kingdom,8657.39,9,2937,961.93,2009-12-18,2011-11-22,339
13148,United Kingdom,8621.81,26,4571,331.61,2009-12-07,2011-11-10,340
16945,United Kingdom,8548.16,33,5889,259.04,2009-12-09,2011-11-18,341
15281,United Kingdom,8543.57,16,5233,533.97,2010-10-08,2011-10-12,342
15270,United Kingdom,8524.86,21,4010,405.95,2009-12-17,2011-11-24,343
15786,United Kingdom,8514.82,5,5981,1702.96,2010-06-21,2011-10-24,344
12798,Japan,8510.93,4,8455,2127.73,2010-10-14,2011-11-29,345
13209,United Kingdom,8509.51,13,5781,654.58,2010-01-24,2011-11-09,346
13715,United Kingdom,8483.29,17,4934,499.02,2010-03-11,2011-03-03,347
14286,United Kingdom,8479.76,7,8795,1211.39,2009-12-04,2011-11-16,348
18139,United Kingdom,8438.34,6,5557,1406.39,2011-11-21,2011-11-22,349
